id;nombre;duracion;color
1;Halloween;temporal;#FF7518
2;Verano;temporal;#FFC300
3;Primavera;temporal;#4CAF50
4;Otoño;temporal;#D2691E
5;Invierno;temporal;#1E90FF
6;Regreso a Clases;temporal;#7B1FA2
7;San Valentín;temporal;#E91E63
8;Día de la Madre;temporal;#F06292
9;Día del Padre;temporal;#1976D2
10;Cyber Monday;temporal;#212121
